,character,text,scene,movie
0,GALADRIEL VOICE OVER,I amar prestar aen . Han mathon ne nen  Han mathon ne chae  A han noston ned gwilith  Much that once was is lost. For none now live who remember it.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
1,GALADRIEL VOICE OVER,It began with the forging of the Great Rings.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
2,GALADRIEL VOICE OVER,"Three were given to the elves.  Immortal, wisest and fairest of all beings.  Seven to the dwarf lords, great miners and craftsmen of the mountain halls.  And nine, nine rings were gifted to the race of men.  Who above all else, desire power. ",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
3,GALADRIEL VOICE OVER,"For within these rings was bound the strength and will to govern each race.  But they were all of them deceived.  For another ring was made.  In the land of Mordor,  in the fires of Mount Doom  the dark Lord Sauron forged in secret a master Ring  to control all others and into this Ring he poured all his cruelty, his malice  and his will to dominate all life.  One Ring to rule them all.",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
4,GALADRIEL VOICE OVER,One by one the free lands of Middle Earth fell to the power of the Ring. But there were some who resisted.  A last alliance of Elves and Men marched against the armies of Mordor. And on the slopes of Mount Doom they fought for the freedom of Middle Earth.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
5,ELROND,Tangado haid! ,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
6,ELROND,Leithio i philinn! ,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
7,GALADRIEL VOICE OVER,Victory was near.  But the power of the Ring  could not be undone.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
8,GALADRIEL VOICE OVER,"It was in this moment,  that Isildur, son of the King, took up his fathers sword.",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
9,GALADRIEL VOICE OVER,"Sauron, the enemy of the Free Peoples of Middle Earth was defeated.  The Ring passed to Isildur.  Who had this one chance to destroy evil forever.  But the hearts of Men are easily corrupted.  And the Ring of Power has a will of its own.",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
10,GALADRIEL VOICE OVER,"It betrayed Isildur  to his death.  And some things that should not have been forgotten were lost.  History became legend, legend became myth,  and for two and a half thousand years the Ring passed out of all knowledge.  Until, when chance came  It ensnared a new bearer. ",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
11,GOLLUM,My Precious!,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
12,GALADRIEL VOICE OVER,The Ring came to the creature Gollum who took it deep into the tunnels of the Misty Mountains.  And there it consumed him.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
13,GOLLUM,"It came to me, my own, my love, my own, my Precious.",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
14,GALADRIEL VOICE OVER,"The Ring brought to Gollum unnatural long life. For five hundred years it poisoned his mind. And in the gloom of Gollums cave it waited.  Darkness crept back into the forests of the world. Rumour grew of a shadow in the East, whispers of a nameless fear.  And the Ring of Power perceived.  Its time had now come.  It abandoned Gollum.  But something happened then that the Ring did not intend, it was picked up by the most unlikely creature imaginable. ",Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
15,BILBO,Whats this?,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
16,GALADRIEL VOICE OVER,A Hobbit. Bilbo Baggins of the Shire. ,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
17,BILBO,A Ring! .,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
18,GOLLUM, Lost!  My Precious is lost.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
19,GALADRIEL,For the time will soon come when Hobbits will shape the fortunes of all.,Prologue: One Ring to Rule Them All...,The Fellowship of the Ring
20,BILBO,"The 22nd day of September in the year 1400  by Shire reckoning.  Bag End, Bagshot Row, Hobbiton, West Farthing, The Shire, Middle Earth.  The Third Age of this world.",Concerning Hobbits,The Fellowship of the Ring
21,BILBO,"There and back again, A Hobbits tale, by Bilbo Baggins.  Now, where to begin? Ah, yes.  Concerning Hobbits. ",Concerning Hobbits,The Fellowship of the Ring
22,BILBO VOICEOVER,"Hobbits have been living and farming in the four Farthings of the Shire for many hundreds of years.  quite content to ignore and be ignored by the world of the Big Folk.  Middle Earth being, after all, full of strange creatures beyond count. Hobbits must seem of little importance, being neither renowned as great warriors, nor counted amongst the very wise. ",Concerning Hobbits,The Fellowship of the Ring
23,BILBO," Frodo, someone at the door.  In fact, it has been remarked by some that Hobbits only real passion is for food.  A rather unfair observation  As we have also developed a keen interest in the brewing of ales  and the smoking of pipeweed.  But where our hearts truly lie  is in peace and quiet  and good tilled earth.  For all Hobbits share a love of all things that grow.  And yes, no doubt to others, our ways seem quaint  But today of all days, it is brought home to me it is no bad thing to celebrate a simple life. ",Concerning Hobbits,The Fellowship of the Ring
24,BILBO,"Frodo, the door!  sticklebacks, where is that boy! FRODO! ",Concerning Hobbits,The Fellowship of the Ring
25,GANDALF,"Hmm hmm hmm hmm, Down from the door where it began, hmm hmm hmm hmm",The Shire,The Fellowship of the Ring
26,GANDALF,"And I must follow if I can.  The road goes ever on and on, down from the door where it began, now far ahead the road has gone, and I must follow if I can.",The Shire,The Fellowship of the Ring
27,FRODO,Youre late!,The Shire,The Fellowship of the Ring
28,GANDALF,"A wizard is never late! Frodo Baggins.  Nor is he early, he arrives precisely when he means to.",The Shire,The Fellowship of the Ring
29,FRODO,Its wonderful to see you Gandalf. ,The Shire,The Fellowship of the Ring
30,GANDALF,You didnt think Id miss your Uncle Bilbos birthday? ,The Shire,The Fellowship of the Ring
31,GANDALF,So how is the old rascal? I hear it is going to be a party of special significance?,The Shire,The Fellowship of the Ring
32,FRODO,You know Bilbo hes got the whole place in an uproar.,The Shire,The Fellowship of the Ring
33,GANDALF,Well that should please him. ,The Shire,The Fellowship of the Ring
34,FRODO,Half the Shires been invited.  And the rest of them are turning up anyway. ,The Shire,The Fellowship of the Ring
35,BILBO VOICEOVER,"And so life in the Shire goes on, very much as it has this past age.  Full of its own comings and goings with change coming slowly, if it comes at all.  For things are made to endure in the Shire, passing from one generation to the next. Theres always been a Baggins living here under the Hill, in Bag End ",The Shire,The Fellowship of the Ring
36,BILBO,And there always will be.,The Shire,The Fellowship of the Ring
37,FRODO,"To tell you the truth, Bilbo has been acting a bit odd lately.  I mean, more than usual. Hes taken to locking himself in his study.  He spends hours and hours poring over old maps when he thinks Im not looking.",The Shire,The Fellowship of the Ring
38,BILBO,Wheres it gone?,The Shire,The Fellowship of the Ring
39,BILBO,Aaaaah. ,The Shire,The Fellowship of the Ring
40,FRODO,"Hes up to something.  All right then, keep your secrets!",The Shire,The Fellowship of the Ring
41,GANDALF,What? ,The Shire,The Fellowship of the Ring
42,FRODO,But I know you have something to do with it.,The Shire,The Fellowship of the Ring
43,GANDALF,Good gracious me!,The Shire,The Fellowship of the Ring
